"id";"title";"runtime";"revenue";"adult";"release_date"
888;"The Flintstones";91;341631208;FALSE;1994-05-26
110;"Three Colors: Red";99;0;FALSE;1994-05-27
2759;"The Adventures of Priscilla, Queen of the Desert";104;11220670;FALSE;1994-05-31
178;"Blown Away";121;30156002;FALSE;1994-07-01
8850;"The Shadow";108;48063435;FALSE;1994-07-01
13;"Forrest Gump";142;677945399;FALSE;1994-07-06
854;"The Mask";101;351583407;FALSE;1994-07-29
2124;"Color of Night";121;19726050;FALSE;1994-08-19
241;"Natural Born Killers";119;50282766;FALSE;1994-08-25
8986;"Milk Money";108;18137661;FALSE;1994-08-31
1024;"Heavenly Creatures";99;3049135;FALSE;1994-09-02
527;"Once Were Warriors";99;2201126;FALSE;1994-09-02
26564;"Crumb";119;3174695;FALSE;1994-09-10
680;"Pulp Fiction";154;213928762;FALSE;1994-09-10
2292;"Clerks";92;3151130;FALSE;1994-09-13
101;"Leon: The Professional";110;45284974;FALSE;1994-09-14
8831;"Timecop";99;101646581;FALSE;1994-09-15
278;"The Shawshank Redemption";142;28341469;FALSE;1994-09-23
522;"Ed Wood";127;5887457;FALSE;1994-09-27
236;"Muriel's Wedding";106;15119639;FALSE;1994-09-29
8987;"The River Wild";111;0;FALSE;1994-09-30
1909;"Don Juan DeMarco";97;22200000;FALSE;1994-10-01
159;"Maybe... Maybe Not";90;0;FALSE;1994-10-05
2636;"The Specialist";110;170362582;FALSE;1994-10-07
27793;"The Neverending Story III: Escape from Fantasia";95;0;FALSE;1994-10-26
2164;"Stargate";121;196567262;FALSE;1994-10-27
8983;"Felidae";82;0;FALSE;1994-11-03
3036;"Mary Shelley's Frankenstein";123;112006296;FALSE;1994-11-04
2436;"Double Dragon";89;2341309;FALSE;1994-11-04
628;"Interview with the Vampire";123;223664608;FALSE;1994-11-11
193;"Star Trek: Generations";118;1,2e+08;FALSE;1994-11-17
8011;"Highlander: The Final Dimension";99;36800000;FALSE;1994-11-29
4954;"Drop Zone";101;0;FALSE;1994-12-08
8984;"Disclosure";123;214015089;FALSE;1994-12-09
2654;"In the Mouth of Madness";95;8946600;FALSE;1994-12-12
390;"Lisbon Story";100;0;FALSE;1994-12-16
1652;"00 Schneider - Jagd auf Nihil Baxter";92;0;FALSE;1994-12-21
1945;"Nell";112;106683817;FALSE;1994-12-23
1702;"Death Machine";117;1422749;FALSE;1994-12-23
38499;"The Howling: New Moon Rising";90;0;FALSE;1995-01-01
76;"Before Sunrise";105;5535405;FALSE;1995-01-27
37731;"Jönssonligans största kupp";99;0;FALSE;1995-02-03
4482;"French Twist";95;0;FALSE;1995-02-08
80350;"Tough and Deadly";92;0;FALSE;1995-02-14
95963;"The Walking Dead";88;0;FALSE;1995-02-24
89904;"The Demolitionist";0;0;FALSE;1995-03-09
6950;"Outbreak";127;189859560;FALSE;1995-03-10
54648;"The Pebble and the Penguin";74;3983912;FALSE;1995-04-11
2064;"While You Were Sleeping";103;182057016;FALSE;1995-04-21
2307;"A Pyromaniac's Love Story";94;0;FALSE;1995-04-28
8963;"Crimson Tide";116;157387195;FALSE;1995-05-12
902;"The City of Lost Children";108;1738611;FALSE;1995-05-16
1572;"Die Hard: With a Vengeance";128;366101666;FALSE;1995-05-19
577;"To Die For";106;21284514;FALSE;1995-05-20
1873;"Beyond Rangoon";100;0;FALSE;1995-05-24
8839;"Casper";100;287928194;FALSE;1995-05-26
688;"The Bridges of Madison County";135;182016617;FALSE;1995-05-28
2021;"Jack & Sarah";110;218626;FALSE;1995-06-02
414;"Batman Forever";121;336529144;FALSE;1995-06-16
568;"Apollo 13";140;355237933;FALSE;1995-06-30
3512;"Under Siege 2: Dark Territory";100;104324083;FALSE;1995-07-13
1642;"The Net";114;110627965;FALSE;1995-07-28
26258;"Bushwhacked";90;0;FALSE;1995-08-04
8973;"Lord of Illusions";119;0;FALSE;1995-08-25
2892;"Angel Baby";105;0;FALSE;1995-09-09
8447;"Angels and Insects";118;0;FALSE;1995-09-10
880;"Antonia's Line";102;0;FALSE;1995-09-12
2072;"Cyberjack";99;0;FALSE;1995-09-19
281;"Strange Days";145;7959291;FALSE;1995-10-13
8012;"Get Shorty";105;115101622;FALSE;1995-10-20
451;"Leaving Las Vegas";112;49800000;FALSE;1995-10-27
710;"GoldenEye";130;352194034;FALSE;1995-11-16
524;"Casino";178;116112375;FALSE;1995-11-22
2086;"Nick of Time";90;8175346;FALSE;1995-11-22
1484;"The Deathmaker";110;0;FALSE;1995-11-23
26271;"Live Nude Girls";95;0;FALSE;1995-12-08
5;"Four Rooms";98;4300000;FALSE;1995-12-09
4584;"Sense and Sensibility";136;1,35e+08;FALSE;1995-12-13
949;"Heat";170;187436818;FALSE;1995-12-15
55261;"Hidden Assassin";104;0;FALSE;1995-12-15
1408;"Cutthroat Island";119;10017322;FALSE;1995-12-22
922;"Dead Man";121;0;FALSE;1995-12-23
30;"Magnetic Rose";44;0;FALSE;1995-12-23
532;"A Close Shave";30;0;FALSE;1995-12-24
63;"Twelve Monkeys";129;168840000;FALSE;1995-12-29
687;"Dead Man Walking";122;39363635;FALSE;1995-12-29
2054;"Mr. Holland's Opus";137;106269971;FALSE;1995-12-29
755;"From Dusk Till Dawn";108;25836616;FALSE;1996-01-19
32562;"The Celluloid Closet";102;0;FALSE;1996-01-30
2045;"Unforgettable";106;0;FALSE;1996-02-23
627;"Trainspotting";93;16491080;FALSE;1996-02-23
2442;"The Final Cut";96;551281;FALSE;1996-03-01
1608;"When Saturday Comes";95;0;FALSE;1996-03-01
6436;"Star Command";97;0;FALSE;1996-03-11
2320;"Executive Decision";133;121969216;FALSE;1996-03-15
5900;"The Dress";103;0;FALSE;1996-03-21
2074;"Flirting with Disaster";92;14702438;FALSE;1996-03-22
1592;"Primal Fear";129;102616183;FALSE;1996-04-03
275;"Fargo";98;60611975;FALSE;1996-04-05
8866;"The Truth About Cats & Dogs";93;0;FALSE;1996-04-26
784;"Kolya";105;5770254;FALSE;1996-05-05
664;"Twister";113;494471524;FALSE;1996-05-10
26422;"The Pillow Book";126;0;FALSE;1996-05-12
145;"Breaking the Waves";159;3803298;FALSE;1996-05-13
2460;"Earth";125;0;FALSE;1996-05-20
954;"Mission: Impossible";110;457696359;FALSE;1996-05-22
8840;"DragonHeart";103;115267375;FALSE;1996-05-31
105763;"A Chef in Love";100;0;FALSE;1996-06-06
45221;"Delphine 1, Yvan 0";91;0;FALSE;1996-06-19
1645;"A Time to Kill";149;152266007;FALSE;1996-07-24
3573;"Emma";121;22231658;FALSE;1996-08-02
7095;"Jack";113;58620973;FALSE;1996-08-09
549;"Basquiat";108;3011195;FALSE;1996-08-09
3587;"Bogus";110;0;FALSE;1996-09-06
513;"Fire";108;501533;FALSE;1996-09-06
32686;"Gray's Anatomy";80;0;FALSE;1996-09-11
2925;"The First Wives Club";102;116400000;FALSE;1996-09-20
2143;"Carla's Song";125;0;FALSE;1996-09-20
2033;"Infinity";119;0;FALSE;1996-10-04
25750;"Children of the Corn IV: The Gathering";85;0;FALSE;1996-10-08
454;"Romeo + Juliet";120;147298761;FALSE;1996-10-31
409;"The English Patient";162;231976425;FALSE;1996-11-14
2300;"Space Jam";88;250200000;FALSE;1996-11-15
2699;"Titanic";173;0;FALSE;1996-11-17
199;"Star Trek: First Contact";111;1,5e+08;FALSE;1996-11-21
55687;"Adrenalin: Fear the Rush";77;0;FALSE;1996-11-29
33660;"Shiloh";93;0;FALSE;1996-11-30
3179;"Beavis and Butt-Head Do America";81;0;FALSE;1996-12-15
312;"Beyond Silence";109;0;FALSE;1996-12-18
7300;"One Fine Day";108;97529550;FALSE;1996-12-20
4232;"Scream";111;173046663;FALSE;1996-12-20
2928;"Michael";105;119718203;FALSE;1996-12-25
26689;"Retroactive";91;0;FALSE;1997-01-01
471;"Bandyta";102;0;FALSE;1997-01-01
48319;"Joyride";93;0;FALSE;1997-01-01
638;"Lost Highway";134;3675201;FALSE;1997-01-15
8860;"Metro";117;31987563;FALSE;1997-01-16
8765;"Nirvana";113;0;FALSE;1997-01-24
1655;"Praxis Dr. Hasenbein";97;0;FALSE;1997-01-30
2212;"Nightwatch";102;1179002;FALSE;1997-01-31
1968;"Fools Rush In";109;29481428;FALSE;1997-02-14
66;"Absolute Power";121;50068310;FALSE;1997-02-14
158;"Knockin' on Heaven's Door";87;0;FALSE;1997-02-20
